x exact r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 r12 r13 r14 r15 r16 r17 r18 r19 r20 r21 r22 r23 r24 r25 r26 r27 r28 r29 r30 r31 r32 r33 r34 r35 r36 r37 r38 r39 r40 r41 r42 r43 r44 r45 r46 r47 r48 r49 r50 r51 r52 r53 r54 r55 r56 r57 r58 r59 r60
-17.7 -7.799878641671448e-31 -0 -0 -0 0 -0 -1.01570750746132e-17 8.189349231995163e-18 -5.894366340169222e-18 -1.011943124195799e-18 1.008299654694409e-18 -3.683932356142239e-18 8.203132673713056e-18 1.058032519569321e-17 -9.241530609362569e-18 -3.184669981023423e-17 7.375922135592851e-18 3.912188071443494e-17 3.514109612895529e-18 -1.432245478291098e-17 -1.386030486211292e-18 6.896924522692175e-18 1.293550502463631e-18 -1.99379640305088e-18 8.106447105251012e-18 4.231770668932329e-18 -4.01058034266304e-18 -7.990102194070362e-19 1.474618627743386e-18 2.512075811889558e-19 -2.988817407259949e-18 -3.823787102857425e-19 2.684464097512298e-18 1.623828055406026e-18 -4.169416034969108e-19 -1.097770333281969e-19 -3.015423646017247e-20 3.544218840980125e-20 1.754619027425565e-20 4.32771109934977e-21 -3.616659339003984e-22 -2.222234705555573e-22 -1.606331525776352e-22 -3.998780536209205e-23 -2.615969184859861e-23 -2.063708356410385e-23 -7.998544734551915e-24 1.3866072243519e-24 2.619889007398732e-25 6.480526858526127e-25 3.709338149299071e-25 2.502645758983891e-25 6.160708186291279e-27 -1.133480297199039e-25 -2.778589370100304e-26 -3.661865371426177e-26 7.332729977560446e-27 5.877302484128981e-27 2.512603241502673e-27 2.645718041885325e-29 -5.264003102550311e-29
-17.55 -1.510483168566229e-29 -0 -0 -0 0 -0 -0 3.397377898385482e-18 -2.244801792843375e-18 7.67027107311331e-18 1.344342393178386e-17 1.321069478240458e-17 -1.899271468836052e-17 6.326119821568703e-19 1.388666260877396e-17 -1.311857989413898e-17 -9.587315351355515e-18 1.544104254896182e-17 1.257100278725201e-17 -8.946133137286089e-18 -5.181143097495418e-18 8.42077132863859e-18 4.50232228001562e-18 -3.135220010863728e-18 -1.121332091867349e-17 -4.19139359680383e-19 6.180142374433332e-18 3.904519045631523e-19 -3.209674428165182e-18 -6.947184298050996e-19 1.842473833013874e-18 -5.536868856191639e-19 -4.37721629103646e-18 -2.365854897701945e-18 6.450065653767846e-19 2.301175129506671e-19 5.938362639557395e-20 -4.64613557693334e-20 -2.65432631050413e-20 5.141839532579461e-21 5.952039881811074e-21 1.656429024487196e-21 5.470301835443297e-22 9.087076488542587e-23 2.950603859244685e-23 2.566798376237295e-24 1.482858924099237e-24 -1.54401342369581e-24 -2.82988742355821e-24 -1.895451623960016e-24 -7.110563114559276e-25 -9.664422222827198e-26 1.11481813354506e-25 -8.911709377154223e-26 1.045522861908066e-26 -4.381061267138054e-28 -1.195166077093706e-27 1.636250020940573e-27 1.704483311449237e-27 6.265963597568537e-28 2.927422233020163e-28
-17.4 -2.226352445616576e-28 -0 -0 -0 0 -0 -0 -7.061064151744127e-18 -5.93265309086713e-18 -3.639994249761712e-18 6.503367259987301e-18 2.362546195729205e-19 -1.885754413389033e-17 2.120017565732594e-21 1.302221940818106e-17 -9.484615996074823e-19 -9.288754098348772e-18 1.426260111021909e-18 1.465331135387446e-17 -3.161257419309563e-19 -3.386522855961761e-18 2.145555937411171e-18 7.297739512913637e-19 -1.400832111495955e-18 5.384578644792892e-19 9.514074613295706e-19 -1.675693018112283e-19 -1.039890628644075e-19 1.381875770012092e-18 1.0999156770931e-18 -2.049122668711954e-19 -7.893615945790859e-20 -4.748044976762502e-20 -1.573647994520618e-19 2.338069397298946e-19 1.033614009951981e-19 2.731879875025269e-20 -7.559922864719054e-22 -1.346501644807694e-20 3.488160988145551e-21 3.14532821854665e-21 8.993028151134379e-22 2.896250998383125e-22 5.866036396229804e-23 -6.21182211580263e-24 -1.716555425868323e-23 -1.980484943317571e-23 -1.542511487314383e-23 -4.439392594332183e-24 -1.855079518929521e-24 -3.161391769825872e-25 -4.340689812162333e-26 1.211051641696799e-25 -2.593115693787867e-26 5.718575319034345e-26 -2.143472030667348e-26 1.074157548581732e-26 6.799342549104886e-27 2.847102452571103e-27 5.852896094310191e-28 1.970368607522325e-28
-17.25 -2.104090912206854e-27 -0 -0 -0 0 -0 -0 -0 1.357673915375909e-18 -3.315461239914397e-18 -1.711548646945468e-18 -1.800169373996505e-17 1.62139396564985e-19 9.362087270642921e-18 -1.439099716917003e-18 -1.42114846012716e-18 2.931595790949601e-18 5.143322203368662e-18 -2.918229580563561e-18 -3.352186807423689e-18 1.709275874161301e-18 5.050934749101239e-19 -1.803998570469578e-18 -1.090463555272494e-18 -9.234361937838169e-19 -8.088173141468375e-19 2.621827575657664e-19 1.460950115424568e-18 1.453612022401457e-18 3.571060330447215e-19 -1.753921296979732e-19 4.338080351845914e-20 3.273728925211791e-20 -5.914500375669295e-20 6.49375363698887e-20 3.216393433866989e-20 -1.530582057188025e-20 -3.069371028971174e-21 -2.38133024416691e-21 -3.42769803392485e-23 3.573696448654326e-22 2.165551030876698e-23 -1.723968313213277e-22 -5.305799302465198e-23 -2.439201418693609e-23 -1.215697083696765e-23 -6.112668536829532e-24 -5.833036485416684e-24 1.959203590738942e-25 1.68182699434495e-25 3.339366114303087e-25 2.494459316248639e-25 -1.436213859519328e-26 -1.055236128109063e-25 -2.197092917164841e-26 -1.335352903626178e-26 -1.925578395654537e-27 8.899282173412747e-28 1.608409785546682e-28 -3.903802025014275e-28 -1.765796498483365e-28
-17.1 -9.60065681994859e-27 -0 -0 -0 0 -0 -0 -0 8.146043492255453e-18 -2.705048731757918e-18 -7.994107525707992e-18 -1.355792796667967e-17 9.46249827826978e-18 2.512066683503264e-18 -1.121629504015014e-17 -3.408773872046352e-18 1.533451347061253e-17 -2.021330918043572e-19 -1.725410076748485e-17 -9.548154605794483e-19 8.015852073939192e-18 -5.352412890833764e-18 -3.70813505270805e-18 1.599778944385892e-18 5.219700672924738e-18 -1.887197902475759e-19 -2.21495402381324e-18 5.620174334826033e-19 7.917994542675113e-20 -9.431326743878874e-19 -1.294053452978081e-18 -2.002082200330069e-18 1.042619951083758e-18 1.442348288835505e-18 -1.350138370583506e-19 -1.119403646066192e-19 -9.071564812911081e-20 -1.837395634235441e-20 1.660620012102859e-20 -5.612824736989114e-21 -3.986748187835468e-21 -1.004235525702642e-21 -3.329942585244841e-22 -4.110707849586574e-23 1.154476701567976e-23 2.845920567871597e-23 3.218159406394237e-23 2.356741200700721e-23 8.667144348728029e-24 2.953610671298204e-24 2.473496886019125e-25 -4.62718172369819e-27 -1.559789333182136e-25 -6.144479648317774e-26 -1.196913198959344e-25 -4.44218220904798e-26 -3.724995578522563e-26 -1.483848862243696e-26 -5.195517297456372e-27 -1.830180038175089e-27 -5.788536833739695e-28
-16.95 -2.393888065053036e-26 -0 -0 -0 0 -0 -0 -0 -0 -1.114393028778979e-18 -4.600869821676521e-18 -4.327340717724432e-17 -3.679863130052265e-18 3.19105833507816e-17 9.748245383080624e-19 -4.032373605393905e-17 -1.540523976007935e-18 4.406168034459451e-17 1.001705803479069e-17 -2.423422045935714e-17 -5.84164878044715e-18 1.210665953525489e-17 3.351443025995522e-18 -3.418294598303911e-18 -4.40178379592292e-18 1.242355792710208e-18 4.137160374035887e-18 4.745762806559893e-19 -3.063848154791748e-18 -1.315842992132793e-18 5.378368173042571e-19 2.223559214741423e-19 1.824492654164655e-18 1.162280095029874e-18 -2.131481218205716e-20 -2.592980042497868e-20 -3.101039483471002e-20 2.497014528501059e-22 2.191395660019294e-21 7.025673519369991e-21 3.169932578768595e-21 7.948992373817643e-22 1.056157713551485e-22 9.267482555325927e-24 -3.937168547638848e-23 -3.038780258254761e-23 -2.641036694767168e-23 -1.57647632476226e-23 -3.909626694656558e-24 -1.132725036933567e-24 -1.989937392220523e-25 -1.709041534571738e-25 1.252082979992904e-25 1.764395730196739e-26 5.899558438908383e-26 3.848542520293885e-26 8.872005263319708e-27 2.930422548543481e-28 -3.845084955384724e-28 -6.487797244432053e-28 -2.422174420593927e-28
-16.8 3.342864620255625e-26 -0 -0 -0 0 -0 -0 -0 -0 1.693192508906927e-36 -9.897423445591426e-19 2.005040229662948e-18 3.844620811705349e-18 -3.561276508719128e-18 8.330962270285212e-19 4.421806105343876e-18 -3.340683831584682e-18 1.811203217435184e-19 1.262109446777017e-17 2.311123655712724e-18 -6.24558258690483e-18 1.040319345203582e-18 3.132895246388774e-18 -1.073580416513195e-18 -8.816811051002226e-19 2.564550887590387e-18 2.55641276066639e-18 -1.077096299672545e-18 -3.295432842057852e-18 -1.169600285395426e-18 5.126662614440318e-19 -2.198396216850818e-20 -2.272837881362276e-20 2.338732581678453e-19 -3.601211632598584e-19 -1.409708581183942e-19 -1.92141292176633e-20 8.529719618803575e-21 1.306050606879023e-20 -2.35573821591371e-21 -1.966914217494648e-21 -5.403060681226707e-22 -1.861749322738261e-22 -2.348205461321603e-23 2.140703792808217e-23 2.952800395281939e-23 3.195004555264734e-23 1.673315923757357e-23 7.813636472166222e-24 2.901110807120078e-24 5.624099660812036e-25 2.155569091383878e-25 -5.361311135413796e-26 -1.517397027094715e-25 -8.98683468408379e-26 8.989746141932472e-28 -3.26412726919228e-27 -2.384598230055735e-27 -6.170044127953093e-28 -8.548306446638373e-28 -2.451936305196769e-28
-16.65 9.613895276000851e-26 -0 -0 -0 0 -0 -0 -0 -0 -0 -1.870363085468702e-19 -2.662213078606858e-19 8.434665350008535e-19 1.608935806065532e-18 -5.383652433014154e-18 2.804654707416985e-18 1.206436789509454e-17 -9.874994426521447e-18 -4.936669313630321e-19 5.959496659845579e-18 1.76645237780157e-18 -3.708832099386466e-18 -4.524218738499043e-18 6.369213843388662e-19 6.60935034608387e-18 1.692690137401332e-18 -2.258307858594455e-18 -1.405305660845099e-18 3.166462223710147e-20 -4.178158302417583e-20 1.41261100491042e-20 1.420874021485579e-19 -2.577815086895565e-18 -1.50979883081077e-18 -1.039454020687044e-19 -4.499803558722265e-20 2.457775891904516e-20 2.128484135930157e-21 1.763176753320044e-22 -3.847413003216835e-21 -1.638439573289483e-21 -1.115935432204044e-22 1.531870221075849e-22 8.913803781185427e-23 8.67546084568526e-23 4.972492334694008e-23 3.953085410376467e-23 2.077750092162679e-23 4.201609269399067e-24 1.551014454427274e-24 -1.38196494919801e-25 -1.411259285230547e-25 -2.041889038067345e-25 -5.732508921020626e-26 -7.323607768989881e-26 -2.486647604830777e-26 -8.354456986153464e-27 -2.696877136326287e-27 -6.17425316898662e-28 5.596357272432139e-28 2.408213453522133e-28
-16.5 -6.140328049736205e-25 -0 -0 -0 0 -0 -0 -0 -0 -0 7.882413879565196e-18 -3.196628229366429e-18 -1.384164209009292e-17 6.007793528819901e-18 1.520328408302387e-17 1.332741535103811e-20 -1.644121451873585e-17 3.750330971381195e-18 1.175218115487762e-17 2.181495527294141e-18 -6.279352426418629e-18 2.54623448899901e-18 6.205981879326466e-19 -1.798282061004125e-18 2.793539001020015e-18 2.639465356238787e-18 -2.880679345170408e-19 -1.511594044433922e-18 -3.401656435882024e-19 1.212443148854412e-18 8.229476521418038e-19 3.192543891305902e-19 -4.411755329060233e-19 -3.746576650242717e-19 -2.648469695995419e-19 -1.447550843099369e-19 -2.107907075001352e-20 -1.940252089357083e-21 1.307591526249134e-20 3.833201867165714e-21 8.121673359508396e-22 5.861473915482661e-23 -3.905195269946805e-23 -2.374278020428624e-23 1.376293936492658e-23 2.348815720418335e-23 1.985780736443028e-23 9.704183430845105e-24 6.049247614630199e-24 2.211460925845211e-24 6.787869871975282e-25 3.152858721827438e-25 9.837165702595966e-27 -1.663451869030306e-25 -9.480713460032e-26 -2.169425979434497e-26 -8.759610260867687e-28 3.198541546385883e-27 1.553327389880779e-27 8.408860652582992e-28 3.068020296104773e-28
-16.35 4.000925823414064e-25 -0 -0 -0 0 -0 -0 -0 -0 -0 0 3.837504285729123e-18 6.94868049537967e-18 -5.304295935704544e-18 -6.492772677572838e-18 4.7645925832406e-18 1.013181900809924e-17 -2.460425808523976e-17 -1.040982876405375e-17 1.130695509020758e-17 7.84015268896983e-18 -5.278293774939858e-18 -2.015330097763954e-18 1.408125896031776e-18 -5.047273907159191e-19 -9.193583041817302e-19 -6.647345714139768e-19 4.286031813745011e-19 3.125229162753657e-19 3.911658170092524e-19 2.081861074848707e-19 5.805880027667942e-19 -3.937337804114926e-19 -4.334316336614011e-19 -1.371536807417344e-19 -1.719728407947667e-20 2.792809805535878e-20 2.380375388193193e-20 -4.688180048575712e-21 -4.454217486062538e-21 -1.725034869942519e-21 -3.024518754521323e-22 -4.812099050080061e-23 2.549854398344799e-23 2.208514900587734e-23 1.442869394968759e-23 -7.857998242843172e-27 -2.312727188331836e-24 -7.402342445768498e-25 2.471310175814351e-26 1.984323159130339e-25 6.270767699349111e-26 1.313884563976755e-26 1.491712105027369e-26 -3.049285609195608e-26 2.770780035534148e-27 6.175095595300237e-27 2.737162942240462e-27 9.616149950854964e-28 3.766859963528433e-28 9.46608643403989e-29
