x exact r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 r12 r13 r14 r15 r16 r17 r18 r19 r20 r21 r22 r23 r24 r25 r26 r27 r28 r29 r30 r31 r32 r33 r34 r35 r36 r37 r38 r39 r40 r41 r42 r43 r44 r45 r46 r47 r48 r49 r50 r51 r52 r53 r54 r55 r56 r57 r58 r59 r60
-17.7 -2.334347006519144e-31 0 0 0 -0 0 0 4.585227250274857e-19 1.872001203664134e-18 -1.219426339861705e-18 -3.710365748475844e-19 1.407398257744704e-21 -1.064527079972501e-18 1.499061766231165e-18 1.656658228211721e-18 -1.907089009834557e-18 -3.195037588071239e-18 1.553849356887089e-18 2.54873965467049e-18 -1.886433150449112e-19 -1.837498000765597e-18 2.827284239817705e-19 9.351122872143007e-19 -5.582492429253746e-19 -3.481511872129641e-19 1.242598137183372e-18 4.725476356085435e-19 -4.926919182863082e-19 -6.690619064783642e-20 2.010789271285006e-19 5.349293838610813e-20 -3.320606693901815e-19 -4.919961554538176e-20 2.650469293825264e-19 1.596496888551123e-19 -3.946656959129094e-20 -1.029521684102827e-20 -2.926355411777686e-21 3.289960239900086e-21 1.600855177684886e-21 4.022383098150487e-22 -3.118078048316244e-23 -1.717864075885045e-23 -1.27064718683646e-23 -2.857302753229247e-24 -1.888583140445535e-24 -1.752195539872624e-24 -6.94894288765796e-25 1.241145160988715e-25 1.689447207562674e-26 5.178444130317001e-26 2.974025260609345e-26 2.067938308317692e-26 8.300575778104446e-28 -9.070255878836943e-27 -2.144699344097854e-27 -2.94901864450494e-27 5.662288012241474e-28 4.556173229108416e-28 1.976557421026212e-28 4.881266825462414e-30 -6.103625603170811e-30
-17.55 -4.512977798493908e-30 0 0 0 -0 0 0 0 9.742896976543062e-19 9.434033559071444e-19 5.293252397022101e-18 -1.197897134950087e-18 -4.731809903815682e-18 8.451259227108172e-19 2.199477386663604e-18 8.037828866107656e-19 -2.110174250328791e-18 -7.84803898711201e-19 1.606603714447321e-18 1.606918489456106e-18 -8.660496389765566e-19 -1.052522878625734e-18 8.37969150902139e-19 8.986080521499893e-19 -2.880522828187739e-19 -1.514308688107047e-18 -2.497236499061742e-20 7.103117155012123e-19 5.743106579388584e-20 -3.310624633019765e-19 -6.007256010691356e-20 2.120854992685345e-19 -4.088107904557545e-20 -4.318321593966051e-19 -2.316099514479441e-19 6.142715915586478e-20 2.173208426659397e-20 5.836782337494586e-21 -4.181306341058522e-21 -2.442841062851611e-21 4.084948352182978e-22 5.133162976904538e-22 1.381578766537244e-22 4.554696039381856e-23 7.110974857619162e-24 2.411990379768241e-24 1.998432577981627e-25 1.465572653811542e-25 -1.101825032650354e-25 -2.257976148496962e-25 -1.550060649518957e-25 -5.837030447883151e-26 -7.805566884324606e-27 9.775931572116589e-27 -6.989576611675702e-27 9.817161250371287e-28 3.239691911144975e-29 -7.032593446388972e-29 1.347865091666817e-28 1.267270839271575e-28 4.925867334823253e-29 2.536117105755903e-29
-17.4 -6.626298010835599e-29 0 0 0 -0 0 0 0 -7.156158851081286e-19 -6.594839055027319e-19 -2.375861038853354e-18 5.171235632117486e-19 -2.832952948230982e-19 1.157164382764019e-18 -8.032253408434112e-20 5.260740846698369e-19 -3.620208864189718e-19 2.520348523800018e-19 4.743657146602878e-19 4.5871841721353e-19 -1.09663920303382e-19 -1.747184132080262e-19 3.810562782260791e-19 2.120774268245756e-20 -2.075970673952342e-19 1.329695496367177e-19 1.33309851180171e-19 -4.569928463377422e-20 9.510923573544077e-21 1.53606397315321e-19 1.183039485544453e-19 -2.342777003250854e-20 -6.600134702531932e-21 -3.078733820305906e-21 -1.496008003678405e-20 2.192512279360257e-20 9.605053079980541e-21 2.591173742497059e-21 2.255788917083993e-23 -1.217873127418628e-21 2.890092577547809e-22 2.703623094693623e-22 7.581602568652609e-23 2.446451400732973e-23 5.252745129958984e-24 -3.240174857687218e-25 -1.383454637882578e-24 -1.657808000931264e-24 -1.309501473881328e-24 -3.666101175185694e-25 -1.540319881209605e-25 -2.607375208290264e-26 -3.782291850375557e-27 1.02048775495919e-26 -2.084567338768717e-27 4.700497202921307e-27 -1.741166092983011e-27 8.376418568908893e-28 5.32550600999702e-28 2.186647592368622e-28 4.626552058971084e-29 1.431687815487132e-29
-17.25 -6.223101950064155e-28 0 0 0 -0 0 0 0 0 -1.482333823643704e-19 -2.809406901644213e-18 -5.964238068110001e-19 4.348108195452809e-18 4.353663673056957e-19 -1.178756592309928e-18 -6.914924174510257e-19 9.617951720109583e-19 8.414326405971567e-20 -3.787313519545795e-19 -6.445905640077495e-19 -6.566277190317041e-20 3.315624796201381e-19 4.792918206510066e-20 -5.015937994284324e-20 -1.990065487447276e-19 -1.480850820268876e-19 -1.701094332713357e-19 5.352625297865292e-22 1.835598548904483e-19 1.581419617026794e-19 3.753210483263993e-20 -1.989677107387603e-20 5.002187882003872e-21 3.922287455984575e-21 -5.537925214242154e-21 6.417518622848253e-21 3.103581328617367e-21 -1.48191552351535e-21 -2.75053890596385e-22 -2.094873095653716e-22 -7.456715672808199e-24 3.355663524018802e-23 5.503517591231447e-24 -1.46643277848752e-23 -4.323630020593062e-24 -1.996204054882685e-24 -1.021180972061691e-24 -5.148051723104916e-25 -5.10645944828586e-25 1.548194099402791e-26 1.12597261650764e-26 2.652656510938076e-26 2.058031946434656e-26 -9.929058969669966e-28 -8.559554219300761e-27 -1.742634834153323e-27 -1.06533601315239e-27 -1.573042161378575e-28 7.386396413832299e-29 1.374596388794871e-29 -2.901677346796082e-29 -1.412472137018673e-29
-17.1 -2.811206277426119e-27 0 0 0 -0 0 0 0 0 -8.894002941862222e-19 -2.591521672415117e-18 -6.840551896704237e-20 2.735369689011755e-18 1.77695641911193e-18 -5.709761409764986e-19 -1.442141442411704e-18 -1.005023527411826e-19 1.10416808630279e-18 3.713300386611417e-19 -1.238303397779122e-18 -6.835250738303986e-20 9.261891888919176e-19 -6.863372142740829e-19 -4.638048510165877e-19 1.253531938184106e-19 6.516424882714109e-19 -5.878003718433667e-20 -2.959159918263765e-19 4.99444342843688e-20 2.113017088465028e-20 -7.897553246728512e-20 -1.292104939463996e-19 -2.090806278380089e-19 1.009299948381168e-19 1.406608436746264e-19 -1.225744457593691e-20 -1.028112795637765e-20 -8.622223113564776e-21 -1.853330233956821e-21 1.512250549340023e-21 -4.72237836041564e-22 -3.38786550372233e-22 -8.251676341864331e-23 -2.768098701976097e-23 -3.469887943095297e-24 7.566881623306149e-25 2.320934394013277e-24 2.702704593577589e-24 1.989731540343143e-24 7.24465512194922e-25 2.469606050707328e-25 2.0291578328736e-26 -2.835702321549018e-28 -1.292237371029379e-26 -4.893542352419465e-27 -9.582135753182389e-27 -3.450427984984862e-27 -2.918396345322065e-27 -1.157467333060107e-27 -3.926431895427742e-28 -1.411747085910295e-28 -4.511678604912614e-29
-16.95 -7.054261343492853e-27 0 0 0 -0 0 0 0 0 0 -1.964801470779292e-19 -7.782629781307932e-19 3.28929801018814e-18 8.656082220404505e-19 -5.066221180132409e-19 -2.06375822286342e-18 -1.729211891232519e-18 9.281296346101005e-19 2.297363732457333e-18 6.002028758830022e-19 -1.877071071092002e-18 -5.067564084297636e-19 1.219773506748876e-18 2.782457782884792e-19 -4.438230041949171e-19 -5.480246136279047e-19 1.053114437313496e-19 3.765043947289695e-19 2.772949251510262e-20 -3.329160749339442e-19 -1.23724371080636e-19 4.538333860925693e-20 1.533271066743576e-20 1.80706998616356e-19 1.140112602751294e-19 -2.074233791619952e-21 -2.506652603296697e-21 -2.919338504389681e-21 6.733140454777635e-23 2.138355443372621e-22 6.204949183679478e-22 2.779286840262782e-22 7.122418916970559e-23 1.05060870254602e-23 1.780550751605503e-24 -2.901349837910001e-24 -2.44612597265639e-24 -2.201901389356465e-24 -1.325183507988372e-24 -3.171317996810072e-25 -8.96741679331631e-26 -1.451406160120693e-26 -1.384870493040773e-26 1.055203351005871e-26 1.361414421037299e-27 4.675898172772033e-27 3.052961878599028e-27 6.953085037511372e-28 1.902247765331548e-29 -2.719896543932842e-29 -4.863238040472602e-29 -1.775446682803384e-29
-16.8 1.068849935879579e-26 0 0 0 -0 0 0 0 0 0 -3.042395136761595e-38 -5.664851773815287e-19 -3.811121838887346e-19 -4.949373097042946e-19 -7.959308530117789e-20 4.809603230741738e-19 2.034399558717078e-19 7.404994352189416e-20 9.596477079883979e-20 5.313269737695077e-19 -9.088147173812218e-20 -5.814496323376118e-19 1.933922577897296e-19 1.658901519248692e-19 -2.20032678507877e-19 -9.215327435956646e-20 3.973221617513399e-19 2.489858362726021e-19 -1.446483168441099e-19 -3.389033485138639e-19 -1.139366568950006e-19 5.056837164062774e-20 -5.264909294275558e-21 -4.77945012840453e-21 2.230263362717906e-20 -3.407286467892867e-20 -1.313834228344535e-20 -1.839885648517235e-21 7.078525257317145e-22 1.165938019324755e-21 -2.026349438159115e-22 -1.656264380524158e-22 -4.460823382039857e-23 -1.593432912720746e-23 -2.419898222766931e-24 1.458387878185289e-24 2.395943092551991e-24 2.693441277241897e-24 1.390117358230681e-24 6.477353598147758e-25 2.392049364482572e-25 4.54151588485125e-26 1.771565830487677e-26 -4.177559583361616e-27 -1.221196033035377e-26 -7.237438925111161e-27 1.096262526967478e-28 -2.338072090653498e-28 -1.850395129468035e-28 -4.427831417448982e-29 -6.407678286817069e-29 -1.811638186200856e-29
-16.65 3.149245043085702e-26 0 0 0 -0 0 0 0 0 0 0 -6.511914158435292e-19 5.697927198587148e-20 8.925108974554036e-19 7.167260080963222e-19 -1.386568211086617e-18 7.55121278046975e-20 1.782778873820777e-18 -4.954846082349852e-19 -7.801671760396704e-19 2.83002529935654e-19 7.438844353149313e-19 -3.257983465631425e-19 -6.481146942542743e-19 -3.747792488694073e-20 8.721347490013024e-19 2.568771972265899e-19 -2.677459414220342e-19 -1.905405488030102e-19 -3.030198176577319e-21 -1.093195168795304e-20 1.505105328829949e-20 2.225677824800455e-20 -2.567684860886314e-19 -1.487685014136504e-19 -9.594672122736489e-21 -4.142010324940413e-21 2.339081740043335e-21 1.668173177041022e-22 4.977570750484477e-23 -3.197507795811827e-22 -1.391192424675788e-22 -1.043645304186749e-23 1.216850657953905e-23 6.57726409292321e-24 6.954419903299418e-24 4.071651618948507e-24 3.321745740621825e-24 1.748161209115394e-24 3.353808467337945e-25 1.268729008405139e-25 -1.202540150189962e-26 -1.13426341225321e-26 -1.685551284526982e-26 -4.619536814969883e-27 -5.902343163288659e-27 -1.996554057641549e-27 -6.624211513378397e-28 -2.151938690036449e-28 -4.974148575673043e-29 4.269909288485457e-29 1.72529486796591e-29
-16.5 -1.938215892979076e-25 0 0 0 -0 0 0 0 0 0 0 -8.355097691528353e-19 -1.133263821419987e-19 -1.369819766474342e-18 2.804382023427607e-19 1.752073706177122e-18 -3.084105606073206e-19 -2.750962085807338e-19 6.461279058933438e-19 6.235222239276285e-19 -2.691543223334496e-19 -2.553650085762876e-19 4.496132755848327e-19 -1.520501171876619e-19 -3.889108316294061e-19 4.892946793374351e-19 3.631004397761343e-19 -3.242222189685439e-20 -1.693382232419392e-19 -2.453287905560143e-20 1.148154201910246e-19 8.209979911608754e-20 3.174605645962804e-20 -4.585235963978182e-20 -3.841970202224115e-20 -2.493580008005406e-20 -1.33046668054995e-20 -1.912932172142704e-21 -2.105353784153876e-22 1.159280135243405e-21 3.357904614342432e-22 7.159577661883069e-23 4.761194390975889e-24 -3.975455414060776e-24 -2.714442100144695e-24 7.675396002087782e-25 1.913066092675036e-24 1.653281523266933e-24 7.849480371950676e-25 4.983786698230198e-25 1.793530292601062e-25 5.429862875949708e-26 2.557603541518522e-26 1.05757804945184e-27 -1.327867569761514e-26 -7.534946571226612e-27 -1.681148698852699e-27 -4.462118219197744e-29 2.641656670666265e-28 1.154991018597958e-28 6.471517827571753e-29 2.331033605045384e-29
-16.35 1.326888648218547e-25 0 0 0 -0 0 0 0 0 0 0 -0 -8.632794816901e-20 3.614881230812294e-19 2.131906814364791e-19 -6.512489409059011e-19 2.740157236058885e-20 1.141660061588285e-18 -7.742469586353987e-19 -8.479216150933906e-19 4.735456441498453e-19 4.778755700128454e-19 -5.646076058665821e-19 1.664266082632636e-20 2.331838877088603e-19 -1.685192606655169e-19 -1.576953424312215e-19 -4.540032149741747e-20 5.665882145941521e-20 3.099536565242503e-20 3.674245965047809e-20 1.852424007256053e-20 6.020391166264764e-20 -3.915254088814527e-20 -4.219469167983023e-20 -1.337299223944218e-20 -1.716854538020337e-21 2.518312910798932e-21 2.212119731865475e-21 -4.142818373253267e-22 -3.900587188971787e-22 -1.522114592307815e-22 -2.431087553177645e-23 -4.001750290193091e-24 2.062664497332741e-24 1.795319750534837e-24 1.26194965269915e-24 -9.003937479329454e-28 -2.044287754745868e-25 -6.86843640351293e-26 -6.667076173169358e-28 1.574663123142775e-26 4.913657553334583e-27 1.07190282310198e-27 1.335364713413326e-27 -2.462742059066487e-27 2.026379990450062e-28 4.835422991517588e-28 2.172800533401303e-28 7.434777575069748e-29 2.993096423008812e-29 5.274187107312375e-30
