x exact r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 r12 r13 r14 r15 r16 r17 r18 r19 r20 r21 r22 r23 r24 r25 r26 r27 r28 r29 r30
-17.55 -1.510483168566229e-29 1.351788692812346e-65 -2.76796711100028e-64 9.154401951943137e-63 -5.441674938542758e-62 1.90951089778698e-61 -9.295702428025469e-61 -5.581273401495348e-19 1.123730970423508e-18 -2.84592769065662e-18 7.900866822899328e-18 2.237975778869609e-18 -8.370325938379163e-18 -1.114215008712108e-18 3.430104977231907e-18 8.752417228670573e-19 -1.259384209780864e-18 -3.324712278063784e-19 5.266590159836819e-20 1.539047178389851e-19 5.445947663715191e-20 1.502255044074103e-21 -1.756437552336604e-20 -6.449150954935241e-21 -1.469439011515263e-21 2.981250799888317e-22 4.921316235470418e-22 2.629698076683405e-22 9.273075616241773e-23 1.852108504909905e-23 1.076294656897891e-24
-17.4 -2.226352445616576e-28 1.835130398528456e-64 -3.754692180510601e-63 1.241170169561901e-61 -7.368868987211238e-61 2.585735540203702e-60 -7.666914222494685e-60 -1.500246584609098e-19 3.658852898542958e-19 -8.741450369397547e-19 2.221700620026641e-18 6.46877820594845e-19 -2.368945205296044e-18 -2.980089956893842e-19 9.843316046864584e-19 2.433406313086824e-19 -3.735617580467502e-19 -9.06779334529263e-20 1.800162832197416e-20 4.267302706009799e-20 1.403601040158951e-20 -9.87231316829316e-23 -4.782880808365708e-21 -1.520494894848824e-21 -2.949108129446517e-22 9.449904004621721e-23 1.188190166149679e-22 5.854686234778163e-23 1.943579130504676e-23 3.458856677041282e-24 -8.689373464318511e-26
-17.25 -2.104090912206854e-27 2.435421413856103e-63 -4.9787888372702e-62 1.644978459549988e-60 -9.753857374079161e-60 3.422564021344716e-59 -1.013067707753473e-58 4.037798864915148e-58 1.049198412994985e-19 -2.437672014180368e-19 4.231262573614135e-19 1.597901232747219e-19 -4.215399142809042e-19 -8.138007087445325e-20 1.671672124621779e-19 5.37645000557892e-20 -6.137043539559064e-20 -2.046970537385212e-20 7.861706475367698e-22 7.81926860443347e-21 3.070150073244104e-21 2.164127826325715e-22 -8.710096191877318e-22 -3.347828398732579e-22 -8.673528886713517e-23 7.205546278349642e-24 2.107426701045223e-23 1.196680621903104e-23 4.364050490183459e-24 9.175311495006761e-25 7.332241681027073e-26
-17.1 -9.60065681994859e-27 3.159571323478376e-62 -6.453662771781122e-61 2.131147429164483e-59 -1.261988271580935e-58 4.428130441722883e-58 -1.308366740435316e-57 3.348193065687569e-57 1.941313312628229e-19 -5.184600577072985e-19 1.106342825525038e-18 3.576284356424659e-19 -1.1608205603758e-18 -1.635125952542246e-19 4.833627460334504e-19 1.275501052513974e-19 -1.870668154410439e-19 -4.781982101205506e-20 8.204543146097148e-21 2.142791425805703e-20 7.066126324950706e-21 -9.036675968209686e-23 -2.411379712397388e-21 -7.172319747061239e-22 -1.277030073250511e-22 4.962099877339337e-23 5.502291864826829e-23 2.519062691107984e-23 7.647794639707177e-24 1.043003263430939e-24 -2.532979736262963e-25
-16.95 -2.393888065053036e-26 4.007068301607106e-61 -8.177473253737925e-60 2.698906739492933e-58 -1.596001970334801e-57 5.59997653311844e-57 -1.651536398736568e-56 4.218181618587033e-56 -1.347199368987445e-55 -3.077581608990893e-20 6.604479517862259e-20 2.39641574088497e-20 -6.809850281241338e-20 -1.330547625010822e-20 2.658918852344186e-20 8.454411290107284e-21 -9.38184448980015e-21 -3.222883490550886e-21 6.70605598040074e-23 1.250025346664085e-21 5.170461095998279e-22 5.20664642157726e-23 -1.40221953370429e-22 -6.245405180892679e-23 -1.783976723579642e-23 6.069377426377391e-25 3.971909884680988e-24 2.460307184377241e-24 9.544400566003551e-25 2.221048228110047e-25 3.123052902824279e-26
-16.8 3.342864620255625e-26 4.967838308217508e-60 -1.012882993516283e-58 3.341026502966767e-57 -1.97290577624636e-56 6.922203937348961e-56 -2.037551644873067e-55 5.193616995966355e-55 -6.912701711742148e-55 5.265086523315584e-20 -1.249556681063928e-19 -3.309918359046886e-20 1.382630333506605e-19 1.393507268088052e-20 -5.914176753854975e-20 -1.305886930976753e-20 2.31109288290545e-20 4.83462496253186e-21 -1.439630275425461e-21 -2.526859323390128e-21 -7.467686790295984e-22 5.047299003329448e-23 2.873856612655201e-22 7.787693522299936e-23 1.027453648794785e-23 -7.795617939752539e-24 -6.991898667537674e-24 -2.987773541595409e-24 -8.508292257215138e-25 -9.329778596591009e-26 4.243358084496359e-26
-16.65 9.613895276000851e-26 6.020710785518051e-59 -1.226375735525067e-57 4.042834968811934e-56 -2.383798247607416e-55 8.363539703471028e-55 -2.456884900243513e-54 6.249380634559789e-54 -8.303130327850466e-54 2.957186469784942e-53 -5.190148901779468e-21 -4.053163604628321e-21 3.865110100032609e-21 2.214931683692615e-21 -1.213826415703516e-21 -1.172346381984021e-21 2.360141586988547e-22 4.799833128641837e-22 1.444180645333269e-22 -9.260040534072186e-23 -6.626421387196828e-23 -1.587677104883239e-23 1.009042934263331e-23 7.05300556558222e-24 2.858419761109563e-24 5.005551809319759e-25 -1.893607458920265e-25 -1.990589538092214e-25 -9.19396653369249e-26 -2.546987373580799e-26 -5.551036836301806e-27
-16.5 -6.140328049736205e-25 7.132882269680791e-58 -1.451471906751928e-56 4.781920713423009e-55 -2.815257102827669e-54 9.876846910021408e-54 -2.895411358577691e-53 7.348836839875827e-53 -9.745855562260322e-53 1.414843786283142e-52 2.603707859380223e-20 1.435252178440849e-20 -2.246969020542994e-20 -7.874423048481872e-21 8.36029365144242e-21 4.268990513824974e-21 -3.186792649201376e-21 -1.66014927966127e-21 -1.831237464250013e-22 4.62485682401639e-22 2.150609745489969e-22 2.509409834573364e-23 -5.058413081885853e-23 -1.916572437681596e-23 -5.630756241737754e-24 -2.212392176281196e-25 7.2823737037225e-25 4.259617320243875e-25 1.44766901955523e-25 2.368711421023924e-26 -2.981353240128262e-27
-16.35 4.000925823414064e-25 8.260694764109353e-57 -1.679233428647257e-55 5.528725424909034e-54 -3.249727790715724e-53 1.140049310725321e-52 -3.334864842815982e-52 8.445133897130067e-52 -1.117821672396931e-51 1.619628088670946e-51 -2.597191480439693e-51 -1.80958336069706e-23 -5.228282808205405e-21 -1.267746691905593e-21 2.404671399370357e-21 8.695912083218055e-22 -9.340226929544128e-22 -2.979758119917709e-22 9.23268866353376e-24 1.070411783319413e-22 3.946906332504995e-23 2.164911026780859e-24 -1.160735793206093e-23 -3.541321316599979e-24 -7.845781212701296e-25 1.077371279583462e-25 1.867593557046896e-25 8.554154059494435e-26 2.394369877520223e-26 1.988801161224284e-27 -1.892505003514484e-27
-16.2 -3.961746879620042e-25 9.351891313298811e-56 -1.89900990271125e-54 6.248126260638436e-53 -3.666493683341001e-52 1.286176076202469e-51 -3.753890158484144e-51 9.48401145544124e-51 -1.252821945335514e-50 1.811560337264084e-50 4.001894830492743e-51 2.595400990738585e-21 3.689305923181271e-20 -5.665935116430301e-21 -1.794450697769546e-20 1.989300192363622e-22 7.095099341626375e-21 -2.302205250989846e-22 -1.107059954511681e-21 -5.888343969024449e-22 -3.942005423965784e-23 7.024697343336075e-23 7.044181661375291e-23 1.01719757399858e-23 -3.844669215661939e-24 -4.622397568006233e-24 -2.617754278087735e-24 -9.422118386605532e-25 -2.364319806960987e-25 -1.675797683523807e-26 1.614938465718242e-26
-16.05 2.906625660944816e-25 1.03492929115901e-54 -2.099197513145082e-53 6.901958072891436e-52 -4.043191739188554e-51 1.418217210911915e-50 -4.129644943289364e-50 1.040796943390774e-49 -1.372017722181845e-49 1.979742615761449e-49 4.312511527308388e-50 -5.971845814396428e-50 -6.490701021109741e-22 1.995997962713857e-22 5.033501905708207e-22 -1.495666227746553e-22 -3.167778728991456e-22 6.898610504589817e-23 6.231093845243509e-23 8.978566506444259e-24 -9.598969236407624e-24 -5.306675318690401e-24 -9.847115289070911e-25 1.172968978406451e-24 7.662571531331171e-25 2.49593502360635e-25 1.843031293434098e-26 -3.319715651084701e-26 -2.230352330580733e-26 -8.190600107661992e-27 -2.776790064413654e-27
