x exact r0 r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 r12 r13 r14 r15 r16 r17 r18 r19 r20 r21 r22 r23 r24 r25 r26 r27 r28 r29 r30
-16.2 -1.21419496275546e-25 -6.631078641351175e-58 1.620952989283469e-56 -2.293103148388259e-55 4.136728247794401e-54 -2.522792898639058e-53 9.296786005893748e-53 -2.634952379446518e-52 7.116333514548245e-52 -1.01571951551998e-51 1.48414305194587e-51 5.038280705305509e-52 9.492985541810051e-22 1.866848238733164e-21 -7.176884979355827e-22 -9.091830013326922e-22 1.568421412482446e-22 3.711029754536977e-22 -4.950075065499367e-23 -7.088538963461826e-23 -3.06918993237689e-23 1.684674107338878e-25 4.518913003089988e-24 3.596755429632086e-24 4.479534594961549e-25 -2.379535521153203e-25 -2.515143909207442e-25 -1.369568461652011e-25 -4.756845799512601e-26 -1.176799788982293e-26 -2.148195506973537e-28 8.570068480753148e-28
-16.05 1.122522450834594e-25 -7.348153363795244e-57 1.793731370270369e-55 -2.534236069374661e-54 4.56705923602346e-53 -2.780559062834083e-52 1.023582665529257e-51 -2.894730650604965e-51 7.798782595623282e-51 -1.110513276124831e-50 1.618968210496132e-50 5.470733580451773e-51 -6.432026949697301e-52 -2.147481441811447e-23 2.468637116299521e-23 2.32859849149807e-23 -1.391476666650014e-23 -1.564324331677132e-23 5.19088415978287e-24 3.578971129067742e-24 3.974257858164742e-25 -5.670413916606241e-25 -2.84295550453855e-25 -4.388231067145863e-26 6.120331327552709e-26 3.866668345671727e-26 1.235001182866715e-26 6.799145023358213e-28 -1.764479172327204e-27 -1.148677573856639e-27 -3.734574867193702e-28 -1.353365777147158e-28
-15.9 7.935118001787546e-26 -7.960137765373124e-56 1.940298719270008e-54 -2.737615249488593e-53 4.928335585566364e-52 -2.995282278898396e-51 1.101410558574307e-50 -3.107721655550523e-50 8.351298332243512e-50 -1.186287336021555e-49 1.725353102624664e-49 5.802419130520945e-50 -7.587296871914447e-50 6.267175143768984e-23 2.460882910072388e-23 -3.91643774102577e-23 -1.623289341097049e-23 1.63260856189066e-23 6.431721306482005e-24 2.077783882836081e-25 -2.212940380375192e-24 -9.207203351864529e-25 -7.232290806896446e-26 2.450164199353303e-25 8.429408721998987e-26 2.197848219828371e-26 -8.31065106274876e-28 -4.193744328050472e-27 -2.201849784254495e-27 -7.263191119637743e-28 -8.088254890570455e-29 1.575949764049486e-29
-15.75 -1.407847395448164e-25 -8.429640950721344e-55 2.051637640740336e-53 -2.890648220517315e-52 5.198076243151648e-51 -3.153493457236194e-50 1.158255280961749e-49 -3.260359011624923e-49 8.738295525215455e-49 -1.23810999276753e-48 1.796304620516191e-48 6.011112893341513e-49 -7.885107274766211e-49 5.563573406062111e-49 -3.826099409947412e-25 -1.19860319835798e-25 3.662992079111281e-24 4.645673897758546e-24 -7.40486490873822e-25 -8.88218607674588e-25 -3.682510615239536e-25 -5.120628403209094e-27 4.850527273631117e-26 4.137520487983979e-26 7.593625633993677e-27 -1.572136402317749e-27 -2.719764789847466e-27 -1.780498897270331e-27 -7.405746941145761e-28 -2.289808641199617e-28 -2.746412007013743e-29 2.133036517491982e-30
-15.6 2.662399719334883e-25 -8.726525828089435e-54 2.120557655708717e-52 -2.983396410217583e-51 5.358685350585205e-50 -3.244798553347446e-49 1.19036510560591e-48 -3.342476559327302e-48 8.933739063414634e-48 -1.26246120397119e-47 1.826958566137161e-47 6.082244229985688e-48 -8.0046394487345e-48 -6.211506647469476e-48 -2.006594021796815e-23 -1.433102403233614e-23 9.874244492606301e-24 8.387193467561388e-24 -3.108119239538989e-24 -2.329774851989001e-24 -4.587571445020667e-25 2.199359967879898e-25 1.597231450235653e-25 5.595019064728561e-26 -6.157625371414119e-27 -1.2644502582814e-26 -7.612241787472052e-27 -3.252485056811866e-27 -9.563028659484271e-28 -1.97113421199318e-28 9.257748294909706e-30 2.161153564852639e-29
-15.45 2.097862791524613e-24 -8.831105607214408e-53 2.142462374923314e-51 -3.00964127147213e-50 5.399347877674528e-49 -3.263006059503105e-48 1.195552347661428e-47 -3.348425831505994e-47 8.924033650569583e-47 -1.257626939478303e-46 1.815129490225289e-46 6.010572795186242e-47 -7.937274326481984e-47 -6.120560250955575e-47 2.172920279021282e-47 1.042966530450209e-24 3.486128116035067e-25 -2.281917195503298e-24 1.82557044683852e-25 3.769050840999701e-25 1.46079898177351e-25 -1.565218137437486e-26 -2.543553927393314e-26 -1.892439311692792e-26 -3.164813034537901e-27 1.256976203082559e-27 1.515854103392265e-27 8.720820099109191e-28 3.286990538508379e-28 9.313190163095946e-29 7.433155199674607e-30 -3.019263433770384e-30
-15.3 6.729020075602776e-24 -8.736302462468331e-52 2.115856257007079e-50 -2.967573383989503e-49 5.317233019899965e-48 -3.206820572678738e-47 1.173439527599756e-46 -3.277717457730069e-46 8.709584199269152e-46 -1.223898121756795e-45 1.761567414860295e-45 5.800822999796297e-46 -7.687359617868076e-46 -5.8890939414444e-46 3.941443610839485e-46 8.007636386601168e-24 6.165594566232839e-24 -7.329272431436782e-24 -2.698184787007495e-24 -2.917824119136678e-26 9.201518280008787e-25 3.489438011584541e-25 1.581868206266064e-26 -1.056098560963179e-25 -3.430538820052664e-26 -7.742775357777934e-27 1.391390694070131e-27 2.281227691023574e-27 1.100430219359545e-27 3.461525481043789e-28 3.393670643512174e-29 -9.734719199888195e-30
-15.15 -2.69047852197813e-23 -8.44843957129001e-51 2.042513361899334e-49 -2.859998505268601e-48 5.117819481012203e-47 -3.079994619144253e-46 1.125504495641009e-45 -3.135085489870735e-45 8.3047786279679e-45 -1.163542164710089e-44 1.669879688723408e-44 5.467170353919338e-45 -7.271747760292732e-45 -5.532774239715154e-45 3.718407722512606e-45 3.279807051424976e-46 -4.333366515839897e-25 -9.574992273338784e-26 3.179607598736805e-25 1.433023367301649e-25 -1.650381445333597e-26 -2.251938341987211e-26 -6.703123748487614e-27 1.106900868670057e-27 7.229756588449054e-28 2.222665857288258e-28 1.184033371732476e-28 1.075189847598248e-28 7.046105515295847e-29 2.829529147947486e-29 7.288083999788382e-30 2.084734035226585e-30
-15 -7.778960585340002e-23 -7.986543418413595e-50 1.927281662198018e-48 -2.694028010504718e-47 4.814290806278475e-46 -2.890914101086166e-45 1.054917066860903e-44 -2.929963187316775e-44 7.736391385111993e-44 -1.080550893761362e-43 1.546129203978659e-43 5.031657059011718e-44 -6.717916583611552e-44 -5.07512928456736e-44 3.425674242380854e-44 2.563136558161385e-44 8.005466712459303e-25 1.06829401687385e-24 6.399791990229493e-26 -7.125390475312278e-26 -4.721519559313219e-26 -4.92395205929816e-27 6.384666242750011e-27 5.229686816199225e-27 5.768098585989769e-28 -3.042944472810415e-28 -4.184319791780514e-28 -2.519109065486056e-28 -9.429120477680155e-29 -2.030913141327872e-29 2.217814926315701e-31 1.881577420641629e-30
-14.85 -6.30973346757938e-24 -7.380263347396319e-49 1.777552908747071e-47 -2.480301181795803e-46 4.426093499132396e-45 -2.651680999656029e-44 9.661922585091461e-44 -2.675450910635073e-43 7.040653802726526e-43 -9.802037803738099e-43 1.398171142146244e-42 4.521782871793778e-43 -6.060963834592231e-43 -4.544978507496206e-43 3.08174945274162e-43 2.295980340537207e-43 -2.262033506940163e-45 3.55668945208553e-26 -4.532046539482953e-26 -3.160917978475797e-26 5.445099463188921e-28 1.115415232618047e-26 5.908673936956547e-27 1.439574990896304e-27 -1.824853823352088e-27 -7.483603146035569e-28 -1.588129589354276e-28 7.914207673792709e-29 9.857521147582526e-29 5.057469195169456e-29 1.434352276540867e-29 4.615612200859157e-30
